,max (document wise),mean (document wise),min (document wise)
NOUN,0.35106382,0.3198618,0.28865978
PROPN,0.19148937,0.18337354,0.17525773
SPACE,0.11340206,0.088615924,0.06382979
NUM,0.04255319,0.04189515,0.041237112
PRON,0.021276595,0.021276595,0.021276595
X,0.12371134,0.088451415,0.05319149
ADP,0.05319149,0.036905024,0.020618556
ADJ,0.10309278,0.06750384,0.031914894
DET,0.095744684,0.08910945,0.082474224
PUNCT,0.12765957,0.115376174,0.10309278
CCONJ,0.010638298,0.010638298,0.010638298
AUX,0.021276595,0.015792936,0.010309278
VERB,0.020618556,0.020618556,0.020618556
ADV,0.030927835,0.030927835,0.030927835
