,max (document wise),mean (document wise),min (document wise)
is_alpha,0.8096552,0.6971556,0.58465606
is_ascii,1.0379189,1.0130974,0.9882759
is_digit,0.031746034,0.01966612,0.007586207
is_lower,0.52068967,0.43494803,0.34920636
is_upper,0.055555556,0.030881226,0.0062068966
is_title,0.30206898,0.2749322,0.24779542
is_punct,0.24162258,0.18391474,0.12620689
is_left_punct,0.020282187,0.016692817,0.013103448
is_right_punct,0.02292769,0.017670741,0.012413793
is_space,0.1005291,0.07923007,0.057931036
is_bracket,0.043209877,0.03436356,0.025517242
is_quote,0.0,0.0,0.0
is_currency,0.0,0.0,0.0
like_url,0.0013793104,0.0011305723,0.0008818342
like_num,0.081128746,0.055047132,0.028965518
like_email,0.0,0.0,0.0
is_oov,1.1005291,1.0792301,1.0579311
is_stop,0.3413793,0.25005475,0.15873016
