,count,mean,std,min,25%,50%,75%,max,corpus wise
sem_rich_synonyms,2.0,4.52,0.94,3.86,4.19,4.52,4.85,5.19,0.0
sem_rich_taxonyms,2.0,1.11,0.49,0.76,0.93,1.11,1.28,1.45,0.0
sem_rich_hyponyms,2.0,2.6,1.01,1.89,2.25,2.6,2.96,3.31,0.0
sem_rich_holonyms,2.0,0.03,0.01,0.03,0.03,0.03,0.04,0.04,0.0
sem_rich_antonyms,2.0,0.49,0.02,0.48,0.48,0.49,0.49,0.5,0.0
sem_rich_meronyms,2.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.0
sem_depth_min,2.0,0.4,0.02,0.38,0.39,0.4,0.41,0.42,0.0
sem_depth_max,2.0,0.44,0.04,0.41,0.43,0.44,0.45,0.46,0.0
synsets_avg,2.0,0.45,0.05,0.41,0.43,0.45,0.47,0.48,0.0
senses_avg,2.0,0.45,0.05,0.41,0.43,0.45,0.47,0.48,0.0
