,max (document wise),mean (document wise),min (document wise)
odenet-2497-n,0.0006896552,0.0006896552,0.0006896552
odenet-13052-n,0.0006896552,0.0006896552,0.0006896552
odenet-9521-n,0.007586207,0.0051158546,0.0026455026
odenet-10097-n,0.007586207,0.0051158546,0.0026455026
odenet-902-n,0.0020689655,0.0019163169,0.0017636684
odenet-1799-n,0.0020689655,0.0019163169,0.0017636684
odenet-2675-n,0.0020689655,0.0019163169,0.0017636684
odenet-16275-n,0.0020689655,0.0019163169,0.0017636684
odenet-19946-n,0.0034482758,0.002605972,0.0017636684
odenet-15577-a,0.0017636684,0.0012266617,0.0006896552
odenet-1235-n,0.0008818342,0.0007857447,0.0006896552
odenet-1692-n,0.0008818342,0.0007857447,0.0006896552
odenet-3438-n,0.0008818342,0.0007857447,0.0006896552
odenet-18809-n,0.0013793104,0.0011305723,0.0008818342
odenet-5222-v,0.0008818342,0.0007857447,0.0006896552
odenet-11210-v,0.0017636684,0.0012266617,0.0006896552
odenet-156-n,0.0055172415,0.003640455,0.0017636684
odenet-12766-n,0.0027586208,0.0018202275,0.0008818342
odenet-8629-v,0.0008818342,0.0007857447,0.0006896552
odenet-10502-n,0.0008818342,0.0007857447,0.0006896552
odenet-10795-n,0.0017636684,0.0012266617,0.0006896552
odenet-2483-n,0.0008818342,0.0007857447,0.0006896552
odenet-2664-n,0.0006896552,0.0006896552,0.0006896552
odenet-12115-n,0.0006896552,0.0006896552,0.0006896552
odenet-29990-n,0.0006896552,0.0006896552,0.0006896552
odenet-36193-a,0.0017636684,0.0012266617,0.0006896552
odenet-5160-n,0.0017636684,0.0012266617,0.0006896552
odenet-7939-n,0.0006896552,0.0006896552,0.0006896552
odenet-16324-n,0.0006896552,0.0006896552,0.0006896552
odenet-2256-n,0.0068965517,0.0068965517,0.0068965517
odenet-9606-n,0.0068965517,0.0068965517,0.0068965517
odenet-5353-a,0.0013793104,0.0013793104,0.0013793104
odenet-31342-n,0.0013793104,0.0011305723,0.0008818342
odenet-20856-n,0.0006896552,0.0006896552,0.0006896552
odenet-5173-n,0.0013793104,0.0013793104,0.0013793104
odenet-3969-n,0.0006896552,0.0006896552,0.0006896552
odenet-7367-n,0.0026455026,0.0016675789,0.0006896552
odenet-15118-n,0.0006896552,0.0006896552,0.0006896552
odenet-5788-n,0.0020689655,0.0020689655,0.0020689655
odenet-21834-n,0.0020689655,0.0020689655,0.0020689655
odenet-1189-n,0.0013793104,0.0013793104,0.0013793104
odenet-2241-n,0.0013793104,0.0013793104,0.0013793104
odenet-22389-n,0.0013793104,0.0013793104,0.0013793104
odenet-12493-n,0.008275862,0.008275862,0.008275862
odenet-34710-n,0.008275862,0.008275862,0.008275862
odenet-11856-n,0.0006896552,0.0006896552,0.0006896552
odenet-6155-n,0.0013793104,0.0013793104,0.0013793104
odenet-4610-a,0.0013793104,0.0013793104,0.0013793104
odenet-5050-n,0.0013793104,0.0013793104,0.0013793104
odenet-13645-n,0.0013793104,0.0013793104,0.0013793104
odenet-12136-n,0.0006896552,0.0006896552,0.0006896552
odenet-8507-v,0.0006896552,0.0006896552,0.0006896552
odenet-4161-v,0.0017636684,0.0012266617,0.0006896552
odenet-4526-v,0.0017636684,0.0012266617,0.0006896552
odenet-14258-v,0.0008818342,0.0007857447,0.0006896552
odenet-4801-n,0.0027586208,0.0027586208,0.0027586208
odenet-26277-n,0.0027586208,0.0027586208,0.0027586208
odenet-27203-n,0.0027586208,0.0027586208,0.0027586208
odenet-24-a,0.0006896552,0.0006896552,0.0006896552
