,count,mean,std,min,25%,50%,75%,max,corpus wise
type_token_ratio,2.0,0.51,0.02,0.5,0.51,0.51,0.52,0.53,0.47
lexical_density,2.0,40.58,9.13,34.13,37.35,40.58,43.81,47.03,28.48
guiraud_r,2.0,18.43,0.9,17.79,18.11,18.43,18.75,19.07,24.08
herdan_c,2.0,3.3,0.03,3.28,3.29,3.3,3.31,3.32,0.9
maas_a2,2.0,76.88,0.61,76.45,76.66,76.88,77.09,77.31,7.74
tuldava_ln,2.0,-0.14,0.0,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13
brunet_w,2.0,10.41,0.02,10.39,10.4,10.41,10.42,10.43,10.1
cttr,2.0,13.03,0.64,12.58,12.8,13.03,13.26,13.48,17.03
summer_s,2.0,0.95,0.0,0.95,0.95,0.95,0.95,0.95,0.95
sttr,2.0,1.16,0.01,1.15,1.16,1.16,1.16,1.17,1.14
sichel_s,2.0,0.11,0.01,0.1,0.11,0.11,0.11,0.11,0.12
michea_m,2.0,3302.96,57.62,3262.21,3282.59,3302.96,3323.33,3343.71,8.27
entropy,2.0,9.99,0.58,9.58,9.79,9.99,10.2,10.41,11.65
yule_k,2.0,3.38,0.31,3.16,3.27,3.38,3.49,3.6,3.35
simpson_d,2.0,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.03
herdan_vm,2.0,0.09,0.01,0.08,0.09,0.09,0.09,0.09,0.08
hdd,2.0,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09
evenness,2.0,3.28,0.12,3.2,3.24,3.28,3.32,3.37,3.46
mattr,2.0,0.92,0.03,0.9,0.91,0.92,0.93,0.94,0.92
mtld,2.0,101.51,19.99,87.38,94.44,101.51,108.58,115.65,107.05
