,count,mean,std,min,25%,50%,75%,max,corpus wise
avg_token_len_chars,2.0,5.07,0.91,4.42,4.74,5.07,5.39,5.71,5.13
avg_sent_len_tokens,2.0,12.51,0.39,12.24,12.37,12.51,12.65,12.78,12.53
avg_sent_len_chars,2.0,72.16,14.51,61.9,67.03,72.16,77.29,82.42,72.99
flesch_kincaid_grade_level,2.0,9.79,4.4,6.68,8.24,9.79,11.35,12.91,10.27
smog,2.0,22.67,3.29,20.34,21.51,22.67,23.83,24.99,22.99
coleman_liau,2.0,15.51,4.62,12.24,13.88,15.51,17.15,18.78,16.04
ari,2.0,11.39,3.82,8.69,10.04,11.39,12.75,14.1,11.8
forcast,2.0,15.79,0.78,15.24,15.51,15.79,16.06,16.34,15.73
gunning_fog,2.0,15.72,3.06,13.55,14.64,15.72,16.8,17.89,16.04
wiener_sachtextformel_1,2.0,1.31,0.09,1.25,1.28,1.31,1.34,1.37,1.3
wiener_sachtextformel_2,2.0,-0.58,0.09,-0.64,-0.61,-0.58,-0.55,-0.51,-0.59
wiener_sachtextformel_3,2.0,1.35,0.1,1.28,1.31,1.35,1.38,1.41,1.34
wiener_sachtextformel_4,2.0,1.56,0.27,1.37,1.47,1.56,1.66,1.76,1.44
flesch_reading_ease,2.0,73.7,19.38,60.0,66.85,73.7,80.56,87.41,71.49
heylighen_formality,2.0,79.54,6.99,74.6,77.07,79.54,82.01,84.48,78.39
