,count,mean,std,min,25%,50%,75%,max,corpus wise
avg_token_len_chars,2.0,4.47,0.45,4.15,4.31,4.47,4.63,4.79,4.46
avg_sent_len_tokens,2.0,8.48,1.89,7.14,7.81,8.48,9.15,9.82,8.32
avg_sent_len_chars,2.0,40.96,6.1,36.64,38.8,40.96,43.12,45.27,40.44
flesch_kincaid_grade_level,2.0,7.41,0.97,6.72,7.06,7.41,7.75,8.09,7.19
smog,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coleman_liau,2.0,17.45,6.51,12.84,15.15,17.45,19.75,22.05,16.84
ari,2.0,12.61,5.95,8.41,10.51,12.61,14.72,16.82,11.89
forcast,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gunning_fog,2.0,14.31,0.21,14.16,14.24,14.31,14.38,14.46,14.16
wiener_sachtextformel_1,2.0,0.62,0.33,0.39,0.5,0.62,0.74,0.85,0.58
wiener_sachtextformel_2,2.0,-1.27,0.33,-1.5,-1.39,-1.27,-1.16,-1.04,-1.31
wiener_sachtextformel_3,2.0,0.56,0.37,0.3,0.43,0.56,0.69,0.82,0.52
wiener_sachtextformel_4,2.0,0.88,0.28,0.68,0.78,0.88,0.98,1.07,0.81
flesch_reading_ease,2.0,75.71,8.38,69.78,72.74,75.71,78.67,81.63,76.49
heylighen_formality,2.0,94.39,4.01,91.55,92.97,94.39,95.8,97.22,94.41
