,count,mean,std,min,25%,50%,75%,max,corpus wise
AvgMaxDepth,2.0,2.96,0.29,2.75,2.85,2.96,3.06,3.17,2.93
AvgFan,2.0,4.54,0.72,4.03,4.29,4.54,4.79,5.05,4.43
MaxFan,2.0,22.0,5.66,18.0,20.0,22.0,24.0,26.0,
AvgNonTerminales_sent,2.0,1.47,0.75,0.93,1.2,1.47,1.73,2.0,1.38
AvgConstituents_sent,2.0,10.52,2.86,8.5,9.51,10.52,11.53,12.55,0.64
AvgTunits_sent,2.0,0.24,0.04,0.21,0.23,0.24,0.26,0.27,0.24
AvgLenConstituents,2.0,2.01,0.15,1.91,1.96,2.01,2.06,2.12,
AvgLenTunits,2.0,6.83,4.01,4.0,5.42,6.83,8.25,9.67,6.83
AvgOutdegreeCentralization,2.0,0.05,0.02,0.04,0.05,0.05,0.06,0.07,0.05
AvgClosenessCentralization,2.0,0.44,0.02,0.42,0.43,0.44,0.45,0.46,0.44
