,max (document wise),mean (document wise),min (document wise)
dep,0.1005291,0.0795749,0.05862069
nk,0.32482758,0.29468894,0.26455027
sb,0.07586207,0.056449555,0.037037037
punct,0.2319224,0.17527154,0.118620686
ROOT,0.08994709,0.08600803,0.082068965
mo,0.14413793,0.11219242,0.08024691
op,0.004827586,0.0041774614,0.0035273368
pnc,0.038800705,0.023193456,0.007586207
par,0.037037037,0.023690931,0.010344828
oa,0.03448276,0.027823389,0.02116402
mnr,0.0361552,0.034284495,0.032413792
ac,0.0034482758,0.002605972,0.0017636684
cj,0.07583774,0.05447059,0.033103447
app,0.01058201,0.006325488,0.0020689655
cd,0.026206896,0.019717205,0.013227513
ag,0.02137931,0.018185247,0.014991182
oc,0.04137931,0.02421699,0.0070546735
pd,0.015873017,0.015522715,0.015172414
rc,0.0020689655,0.0019163169,0.0017636684
da,0.0020689655,0.0019163169,0.0017636684
nmc,0.0008818342,0.0007857447,0.0006896552
rs,0.0006896552,0.0006896552,0.0006896552
sbp,0.0006896552,0.0006896552,0.0006896552
pg,0.0026455026,0.0016675789,0.0006896552
svp,0.004137931,0.0038326338,0.0035273368
pm,0.0034482758,0.002165055,0.0008818342
cp,0.0027586208,0.0018202275,0.0008818342
ng,0.004409171,0.002894241,0.0013793104
re,0.0006896552,0.0006896552,0.0006896552
uc,0.0035273368,0.0027981512,0.0020689655
