,max (document wise),mean (document wise),min (document wise)
pnc,0.082474224,0.078471154,0.07446808
nmc,0.010638298,0.010638298,0.010638298
dep,0.11340206,0.088615924,0.06382979
nk,0.38297874,0.38221103,0.3814433
ROOT,0.14893617,0.13116911,0.11340206
mnr,0.05319149,0.05319149,0.05319149
ag,0.072164945,0.067997366,0.06382979
punct,0.12765957,0.12568545,0.12371134
sb,0.072164945,0.04672077,0.021276595
uc,0.010638298,0.010638298,0.010638298
cd,0.010638298,0.010638298,0.010638298
app,0.010638298,0.010638298,0.010638298
pd,0.08510638,0.05286247,0.020618556
mo,0.05154639,0.05154639,0.05154639
oa,0.020618556,0.020618556,0.020618556
oc,0.010309278,0.010309278,0.010309278
cj,0.041237112,0.041237112,0.041237112
par,0.010309278,0.010309278,0.010309278
