,count,mean,std,min,25%,50%,75%,max,corpus wise
sem_rich_synonyms,2.0,1.64,0.73,1.12,1.38,1.64,1.9,2.15,0.02
sem_rich_taxonyms,2.0,0.31,0.02,0.3,0.3,0.31,0.31,0.32,0.0
sem_rich_hyponyms,2.0,5.86,0.66,5.39,5.63,5.86,6.1,6.33,0.06
sem_rich_meronyms,1.0,0.02,,0.02,0.02,0.02,0.02,0.02,0.0
sem_rich_holonyms,2.0,0.08,0.0,0.08,0.08,0.08,0.08,0.09,0.0
sem_depth_min,2.0,0.26,0.1,0.19,0.22,0.26,0.3,0.33,0.0
sem_depth_max,2.0,0.26,0.1,0.19,0.22,0.26,0.3,0.33,0.0
synsets_avg,2.0,0.26,0.12,0.17,0.21,0.26,0.3,0.34,0.0
senses_avg,2.0,0.26,0.12,0.17,0.21,0.26,0.3,0.34,0.0
sem_rich_antonyms,1.0,0.08,,0.08,0.08,0.08,0.08,0.08,0.0
