,max (document wise),mean (document wise),min (document wise)
is_alpha,0.4742268,0.44456023,0.41489363
is_ascii,1.0531915,1.0523689,1.0515463
is_digit,0.0,0.0,0.0
is_lower,0.18085106,0.17289975,0.16494845
is_upper,0.06185567,0.05220443,0.04255319
is_title,0.28865978,0.27198946,0.25531915
is_punct,0.4680851,0.41445494,0.36082473
is_left_punct,0.21276596,0.17854792,0.14432989
is_right_punct,0.25531915,0.19982451,0.14432989
is_space,0.11340206,0.088615924,0.06382979
is_bracket,0.34042552,0.2836148,0.22680412
is_quote,0.08510638,0.063171744,0.041237112
is_currency,0.0,0.0,0.0
like_url,0.0,0.0,0.0
like_num,0.0,0.0,0.0
like_email,0.0,0.0,0.0
is_oov,1.113402,1.0886159,1.0638298
is_stop,0.20212767,0.1629195,0.12371134
