,count,mean,std,min,25%,50%,75%,max,corpus wise
type_token_ratio,2.0,0.54,0.05,0.5,0.52,0.54,0.56,0.58,0.46
lexical_density,2.0,26.1,6.82,21.28,23.69,26.1,28.52,30.93,21.99
guiraud_r,2.0,5.27,0.59,4.85,5.06,5.27,5.48,5.69,6.3
herdan_c,2.0,2.6,0.07,2.54,2.57,2.6,2.62,2.65,0.85
maas_a2,2.0,32.88,5.66,28.88,30.88,32.88,34.88,36.89,5.09
tuldava_ln,2.0,-0.22,0.0,-0.22,-0.22,-0.22,-0.22,-0.22,-0.19
brunet_w,2.0,10.14,0.39,9.87,10.0,10.14,10.28,10.41,11.43
cttr,2.0,3.72,0.42,3.43,3.58,3.72,3.87,4.02,4.45
summer_s,2.0,0.9,0.02,0.89,0.9,0.9,0.91,0.92,0.9
sttr,2.0,1.58,0.0,1.58,1.58,1.58,1.58,1.58,1.54
sichel_s,2.0,0.15,0.03,0.12,0.14,0.15,0.16,0.17,0.1
michea_m,2.0,1582.24,350.22,1334.59,1458.42,1582.24,1706.06,1829.88,9.67
entropy,2.0,5.48,0.07,5.43,5.46,5.48,5.51,5.54,6.87
yule_k,2.0,13.69,5.79,9.6,11.65,13.69,15.74,17.79,16.99
simpson_d,2.0,0.12,0.05,0.08,0.1,0.12,0.14,0.16,0.16
herdan_vm,2.0,0.16,0.02,0.14,0.15,0.16,0.16,0.17,0.16
hdd,2.0,0.1,0.01,0.1,0.1,0.1,0.11,0.11,0.11
evenness,2.0,3.12,0.46,2.79,2.95,3.12,3.28,3.44,3.13
mattr,2.0,0.69,0.06,0.65,0.67,0.69,0.71,0.73,0.69
mtld,2.0,13.77,6.45,9.21,11.49,13.77,16.05,18.33,15.29
