,max (document wise),mean (document wise),min (document wise)
SPACE,0.10405644,0.08099374,0.057931036
ADJ,0.082068965,0.07366235,0.06525573
NOUN,0.22896552,0.22427112,0.21957672
PROPN,0.1446208,0.09886213,0.053103447
PUNCT,0.22574955,0.17115064,0.11655173
VERB,0.07586207,0.053363137,0.030864198
PRON,0.038620688,0.024160432,0.009700176
ADP,0.11586207,0.09496807,0.074074075
NUM,0.06084656,0.038354315,0.015862068
DET,0.091724135,0.062616915,0.0335097
ADV,0.08551724,0.07670924,0.06790123
X,0.037037037,0.028518518,0.02
CCONJ,0.025517242,0.019372378,0.013227513
AUX,0.04275862,0.02446573,0.0061728396
PART,0.0061728396,0.005500213,0.004827586
SCONJ,0.0027586208,0.0022611446,0.0017636684
