,max (document wise),mean (document wise),min (document wise)
PUNCT,0.18085106,0.14712656,0.11340206
NOUN,0.21649484,0.18803465,0.15957446
PROPN,0.3723404,0.34080938,0.30927834
SPACE,0.11340206,0.088615924,0.06382979
NUM,0.05154639,0.041730642,0.031914894
X,0.082474224,0.06251371,0.04255319
ADP,0.05319149,0.036905024,0.020618556
ADJ,0.06185567,0.041566133,0.021276595
DET,0.095744684,0.08395481,0.072164945
CCONJ,0.010638298,0.010638298,0.010638298
AUX,0.021276595,0.015792936,0.010309278
PRON,0.010638298,0.010638298,0.010638298
ADV,0.041237112,0.041237112,0.041237112
VERB,0.020618556,0.020618556,0.020618556
