,count,mean,std,min,25%,50%,75%,max,corpus wise
avg_token_len_chars,2.0,5.07,0.91,4.42,4.74,5.07,5.39,5.71,5.13
avg_sent_len_tokens,2.0,11.88,0.15,11.77,11.83,11.88,11.93,11.98,11.89
avg_sent_len_chars,2.0,68.4,12.56,59.52,63.96,68.4,72.84,77.28,69.24
flesch_kincaid_grade_level,2.0,9.59,4.31,6.54,8.06,9.59,11.11,12.63,10.06
smog,2.0,22.16,3.03,20.01,21.09,22.16,23.23,24.3,22.48
coleman_liau,2.0,15.37,4.59,12.12,13.74,15.37,16.99,18.61,15.89
ari,2.0,11.13,3.7,8.51,9.82,11.13,12.44,13.75,11.53
forcast,2.0,15.79,0.78,15.24,15.51,15.79,16.06,16.34,15.73
gunning_fog,2.0,15.51,2.97,13.41,14.46,15.51,16.56,17.6,15.83
wiener_sachtextformel_1,2.0,1.2,0.05,1.17,1.18,1.2,1.22,1.23,1.19
wiener_sachtextformel_2,2.0,-0.68,0.05,-0.72,-0.7,-0.68,-0.67,-0.65,-0.7
wiener_sachtextformel_3,2.0,1.23,0.05,1.19,1.21,1.23,1.24,1.26,1.21
wiener_sachtextformel_4,2.0,1.47,0.22,1.31,1.39,1.47,1.55,1.63,1.35
flesch_reading_ease,2.0,73.7,19.38,60.0,66.85,73.7,80.56,87.41,71.49
heylighen_formality,2.0,79.42,6.34,74.94,77.18,79.42,81.66,83.9,78.39
