,count,mean,std,min,25%,50%,75%,max,corpus wise
avg_token_len_chars,2.0,4.47,0.45,4.15,4.31,4.47,4.63,4.79,4.46
avg_sent_len_tokens,2.0,7.55,2.19,6.0,6.77,7.55,8.32,9.09,7.17
avg_sent_len_chars,2.0,37.16,13.66,27.5,32.33,37.16,41.99,46.82,34.83
flesch_kincaid_grade_level,2.0,7.12,1.99,5.71,6.41,7.12,7.82,8.52,6.91
smog,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coleman_liau,2.0,16.82,9.64,10.01,13.42,16.82,20.23,23.64,15.93
ari,2.0,12.24,7.25,7.12,9.68,12.24,14.8,17.37,11.54
forcast,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gunning_fog,2.0,14.01,1.25,13.13,13.57,14.01,14.45,14.89,13.87
wiener_sachtextformel_1,2.0,0.46,0.36,0.21,0.34,0.46,0.59,0.72,0.39
wiener_sachtextformel_2,2.0,-1.43,0.36,-1.68,-1.56,-1.43,-1.3,-1.17,-1.5
wiener_sachtextformel_3,2.0,0.38,0.41,0.09,0.24,0.38,0.53,0.67,0.3
wiener_sachtextformel_4,2.0,0.75,0.25,0.57,0.66,0.75,0.84,0.93,0.67
flesch_reading_ease,2.0,75.71,8.38,69.78,72.74,75.71,78.67,81.63,76.49
heylighen_formality,2.0,93.76,4.73,90.41,92.08,93.76,95.43,97.1,93.66
