,max (document wise),mean (document wise),min (document wise)
CNP,0.014482759,0.014296053,0.014109347
NP,0.11931034,0.113447055,0.107583776
S,0.07310345,0.062124915,0.051146384
PN,0.014109347,0.008089156,0.0020689655
PP,0.106206894,0.0905814,0.07495591
CAP,0.007586207,0.0051158546,0.0026455026
CS,0.0070546735,0.0069756126,0.0068965517
VP,0.037931036,0.025138358,0.012345679
AP,0.013103448,0.0127245635,0.012345679
CO,0.0035273368,0.002108496,0.0006896552
CAVP,0.0006896552,0.0006896552,0.0006896552
CPP,0.0026455026,0.002357234,0.0020689655
CVP,0.0013793104,0.0013793104,0.0013793104
VZ,0.004137931,0.004137931,0.004137931
DL,0.0017636684,0.0012266617,0.0006896552
AA,0.0008818342,0.0008818342,0.0008818342
