,max (document wise),mean (document wise),min (document wise)
dep,0.10846561,0.083198324,0.057931036
nk,0.32827586,0.29861766,0.26895943
ROOT,0.090828925,0.08610412,0.08137931
punct,0.2292769,0.17291431,0.11655173
app,0.01058201,0.007015143,0.0034482758
sb,0.06827586,0.05221553,0.0361552
op,0.004827586,0.0046183784,0.004409171
pnc,0.049382716,0.03158791,0.013793103
par,0.028218694,0.020316243,0.012413793
oa,0.028965518,0.02197835,0.014991182
mnr,0.033793103,0.03232865,0.030864198
ac,0.0034482758,0.002605972,0.0017636684
mo,0.13862069,0.11472481,0.090828925
rc,0.0034482758,0.0030468893,0.0026455026
cj,0.0670194,0.053164873,0.039310344
uc,0.0035273368,0.0027981512,0.0020689655
cd,0.025517242,0.019372378,0.013227513
ag,0.020689655,0.015635833,0.01058201
pd,0.015172414,0.015081798,0.014991182
da,0.0034482758,0.002605972,0.0017636684
oc,0.040689655,0.02299033,0.005291005
pg,0.0026455026,0.0016675789,0.0006896552
svp,0.0055172415,0.003640455,0.0017636684
pm,0.0034482758,0.002165055,0.0008818342
sbp,0.0013793104,0.0013793104,0.0013793104
cp,0.0027586208,0.0018202275,0.0008818342
ng,0.004409171,0.002894241,0.0013793104
re,0.0006896552,0.0006896552,0.0006896552
nmc,0.0026455026,0.0026455026,0.0026455026
rs,0.0026455026,0.0026455026,0.0026455026
ams,0.0008818342,0.0008818342,0.0008818342
