,max (document wise),mean (document wise),min (document wise)
nmc,0.031914894,0.031914894,0.031914894
nk,0.34042552,0.33000657,0.31958762
dep,0.11340206,0.088615924,0.06382979
ROOT,0.17525773,0.14082035,0.10638298
sb,0.05154639,0.04704979,0.04255319
pd,0.08510638,0.04770783,0.010309278
mnr,0.05319149,0.05319149,0.05319149
pnc,0.14432989,0.13599473,0.12765957
punct,0.14893617,0.13632375,0.12371134
cd,0.010638298,0.010638298,0.010638298
ag,0.04255319,0.031585872,0.020618556
mo,0.06185567,0.036246985,0.010638298
oa,0.030927835,0.030927835,0.030927835
oc,0.020618556,0.020618556,0.020618556
cj,0.020618556,0.020618556,0.020618556
app,0.020618556,0.020618556,0.020618556
