,count,mean,std,min,25%,50%,75%,max,corpus wise
sem_rich_synonyms,2.0,4.51,0.87,3.9,4.2,4.51,4.82,5.12,0.0
sem_rich_taxonyms,2.0,1.11,0.42,0.82,0.96,1.11,1.26,1.41,0.0
sem_rich_hyponyms,2.0,2.64,1.04,1.9,2.27,2.64,3.0,3.37,0.0
sem_rich_holonyms,2.0,0.03,0.01,0.03,0.03,0.03,0.04,0.04,0.0
sem_rich_antonyms,2.0,0.46,0.02,0.45,0.46,0.46,0.47,0.48,0.0
sem_rich_meronyms,2.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.0
sem_depth_min,2.0,0.41,0.0,0.41,0.41,0.41,0.41,0.41,0.0
sem_depth_max,2.0,0.44,0.01,0.44,0.44,0.44,0.45,0.45,0.0
synsets_avg,2.0,0.45,0.04,0.42,0.44,0.45,0.47,0.48,0.0
senses_avg,2.0,0.45,0.04,0.42,0.44,0.45,0.47,0.48,0.0
