,count,mean,std,min,25%,50%,75%,max,corpus wise
sem_rich_synonyms,2.0,1.39,0.39,1.12,1.26,1.39,1.53,1.67,0.01
sem_rich_taxonyms,2.0,0.31,0.02,0.3,0.3,0.31,0.31,0.32,0.0
sem_rich_hyponyms,2.0,5.84,0.63,5.39,5.61,5.84,6.06,6.28,0.06
sem_rich_meronyms,1.0,0.02,,0.02,0.02,0.02,0.02,0.02,0.0
sem_rich_holonyms,2.0,0.08,0.0,0.08,0.08,0.08,0.08,0.09,0.0
sem_depth_min,2.0,0.28,0.14,0.19,0.24,0.28,0.33,0.38,0.0
sem_depth_max,2.0,0.28,0.14,0.19,0.24,0.28,0.33,0.38,0.0
synsets_avg,2.0,0.23,0.09,0.17,0.2,0.23,0.27,0.3,0.0
senses_avg,2.0,0.23,0.09,0.17,0.2,0.23,0.27,0.3,0.0
sem_rich_antonyms,1.0,0.08,,0.08,0.08,0.08,0.08,0.08,0.0
