,max (document wise),mean (document wise),min (document wise)
w55761_14729-n,0.0006896552,0.0006896552,0.0006896552
w55761_27233-n,0.0006896552,0.0006896552,0.0006896552
w38247_9521-n,0.007586207,0.0051158546,0.0026455026
w38247_10097-n,0.007586207,0.0051158546,0.0026455026
w1202399_902-n,0.0008818342,0.0007857447,0.0006896552
w1202399_1799-n,0.0008818342,0.0007857447,0.0006896552
w1202399_2675-n,0.0008818342,0.0007857447,0.0006896552
w1202399_16275-n,0.0008818342,0.0007857447,0.0006896552
w1202399_19946-n,0.0008818342,0.0007857447,0.0006896552
w58327_15577-a,0.0017636684,0.0012266617,0.0006896552
w6157_1235-n,0.0008818342,0.0007857447,0.0006896552
w6157_1692-n,0.0008818342,0.0007857447,0.0006896552
w6157_3438-n,0.0008818342,0.0007857447,0.0006896552
w6157_18809-n,0.0008818342,0.0007857447,0.0006896552
w4450_902-n,0.0013793104,0.0011305723,0.0008818342
w4450_1799-n,0.0013793104,0.0011305723,0.0008818342
w4450_2675-n,0.0013793104,0.0011305723,0.0008818342
w4450_16275-n,0.0013793104,0.0011305723,0.0008818342
w4450_19946-n,0.0013793104,0.0011305723,0.0008818342
w22629_5222-v,0.0008818342,0.0007857447,0.0006896552
w22629_11210-v,0.0008818342,0.0007857447,0.0006896552
w766_156-n,0.0027586208,0.0018202275,0.0008818342
w766_12766-n,0.0027586208,0.0018202275,0.0008818342
w35018_8629-v,0.0008818342,0.0007857447,0.0006896552
w42177_10502-n,0.0008818342,0.0007857447,0.0006896552
w8187_1663-n,0.0013793104,0.0013793104,0.0013793104
w43229_10795-n,0.0008818342,0.0007857447,0.0006896552
w43229_2483-n,0.0008818342,0.0007857447,0.0006896552
w12499_2664-n,0.0006896552,0.0006896552,0.0006896552
w12499_12115-n,0.0006896552,0.0006896552,0.0006896552
w12499_29990-n,0.0006896552,0.0006896552,0.0006896552
w120232_36193-a,0.0017636684,0.0012266617,0.0006896552
w10834_2256-n,0.0068965517,0.0068965517,0.0068965517
w10834_9606-n,0.0068965517,0.0068965517,0.0068965517
w37149_5353-a,0.0013793104,0.0013793104,0.0013793104
w106119_31342-n,0.0013793104,0.0011305723,0.0008818342
w74142_20856-n,0.0006896552,0.0006896552,0.0006896552
w22446_5173-n,0.0013793104,0.0013793104,0.0013793104
w51814_13360-n,0.0006896552,0.0006896552,0.0006896552
w17651_3969-n,0.0006896552,0.0006896552,0.0006896552
w17651_7367-n,0.0006896552,0.0006896552,0.0006896552
w17651_15118-n,0.0006896552,0.0006896552,0.0006896552
w24835_5788-n,0.0020689655,0.0020689655,0.0020689655
w24835_21834-n,0.0020689655,0.0020689655,0.0020689655
w5935_1189-n,0.0013793104,0.0013793104,0.0013793104
w5935_2241-n,0.0013793104,0.0013793104,0.0013793104
w5935_22389-n,0.0013793104,0.0013793104,0.0013793104
w48976_12493-n,0.008275862,0.008275862,0.008275862
w48976_34710-n,0.008275862,0.008275862,0.008275862
w46780_11856-n,0.0006896552,0.0006896552,0.0006896552
w26276_6155-n,0.0006896552,0.0006896552,0.0006896552
w20316_4610-a,0.0006896552,0.0006896552,0.0006896552
w21972_5050-n,0.0006896552,0.0006896552,0.0006896552
w21972_13645-n,0.0006896552,0.0006896552,0.0006896552
w47605_12136-n,0.0006896552,0.0006896552,0.0006896552
w34628_8507-v,0.0006896552,0.0006896552,0.0006896552
w18419_4161-v,0.0008818342,0.0007857447,0.0006896552
w18419_4526-v,0.0008818342,0.0007857447,0.0006896552
w18419_14258-v,0.0008818342,0.0007857447,0.0006896552
w21080_4801-n,0.0027586208,0.0027586208,0.0027586208
w21080_26277-n,0.0027586208,0.0027586208,0.0027586208
w21080_27203-n,0.0027586208,0.0027586208,0.0027586208
w123_24-a,0.0006896552,0.0006896552,0.0006896552
w123_863-a,0.0006896552,0.0006896552,0.0006896552
w123_1544-a,0.0006896552,0.0006896552,0.0006896552
w123_4455-a,0.0006896552,0.0006896552,0.0006896552
w123_15160-a,0.0006896552,0.0006896552,0.0006896552
w112271_33497-n,0.0006896552,0.0006896552,0.0006896552
w4250_858-v,0.0013793104,0.0013793104,0.0013793104
w4250_6981-v,0.0013793104,0.0013793104,0.0013793104
w4250_26157-v,0.0013793104,0.0013793104,0.0013793104
w11789_2482-n,0.0006896552,0.0006896552,0.0006896552
w11789_14077-n,0.0006896552,0.0006896552,0.0006896552
w19326_4373-v,0.0006896552,0.0006896552,0.0006896552
w19326_6456-v,0.0006896552,0.0006896552,0.0006896552
w19326_22932-v,0.0006896552,0.0006896552,0.0006896552
w19326_22933-v,0.0006896552,0.0006896552,0.0006896552
w1202394_362238-n,0.0006896552,0.0006896552,0.0006896552
w8856_1825-v,0.0006896552,0.0006896552,0.0006896552
w8856_34008-v,0.0006896552,0.0006896552,0.0006896552
w8856_34385-v,0.0006896552,0.0006896552,0.0006896552
w103651_30521-v,0.0006896552,0.0006896552,0.0006896552
w9209_1898-a,0.0006896552,0.0006896552,0.0006896552
w19676_4455-a,0.0013793104,0.0013793104,0.0013793104
w19676_7983-a,0.0013793104,0.0013793104,0.0013793104
w19676_25102-a,0.0013793104,0.0013793104,0.0013793104
w742_150-n,0.0006896552,0.0006896552,0.0006896552
w3544_713-n,0.0006896552,0.0006896552,0.0006896552
w3544_1129-n,0.0006896552,0.0006896552,0.0006896552
w3544_4202-n,0.0006896552,0.0006896552,0.0006896552
w3544_10572-n,0.0006896552,0.0006896552,0.0006896552
w3544_10961-n,0.0006896552,0.0006896552,0.0006896552
w44052_11054-n,0.0006896552,0.0006896552,0.0006896552
w21275_4860-v,0.0006896552,0.0006896552,0.0006896552
w21275_6632-v,0.0006896552,0.0006896552,0.0006896552
w21275_9915-v,0.0006896552,0.0006896552,0.0006896552
w96455_28055-v,0.0006896552,0.0006896552,0.0006896552
w19876_4502-n,0.0020689655,0.0020689655,0.0020689655
w19876_4634-n,0.0020689655,0.0020689655,0.0020689655
w19876_6630-n,0.0020689655,0.0020689655,0.0020689655
w19876_7111-n,0.0020689655,0.0020689655,0.0020689655
w19876_7337-n,0.0020689655,0.0020689655,0.0020689655
w19876_12534-n,0.0020689655,0.0020689655,0.0020689655
w19876_13847-n,0.0020689655,0.0020689655,0.0020689655
