,max (document wise),mean (document wise),min (document wise)
w29489_7041-a,0.010638298,0.010638298,0.010638298
w29489_13642-a,0.010638298,0.010638298,0.010638298
w29489_15336-a,0.010638298,0.010638298,0.010638298
w50951_13070-n,0.010638298,0.010638298,0.010638298
w4583_926-n,0.010638298,0.010638298,0.010638298
w4583_2495-n,0.010638298,0.010638298,0.010638298
w4583_4734-n,0.010638298,0.010638298,0.010638298
w4583_6998-n,0.010638298,0.010638298,0.010638298
w4583_20379-n,0.010638298,0.010638298,0.010638298
w26593_6257-n,0.010638298,0.010638298,0.010638298
w7809_1577-n,0.010638298,0.010638298,0.010638298
w3656_734-n,0.021276595,0.015792936,0.010309278
w3656_1080-n,0.021276595,0.015792936,0.010309278
w3656_27743-n,0.021276595,0.015792936,0.010309278
w80056_22821-n,0.021276595,0.021276595,0.021276595
w74187_20875-n,0.010638298,0.010638298,0.010638298
w41661_10345-v,0.010309278,0.010309278,0.010309278
w41661_31045-v,0.010309278,0.010309278,0.010309278
w27238_6425-a,0.010309278,0.010309278,0.010309278
w27238_10591-a,0.010309278,0.010309278,0.010309278
w27252_6432-a,0.010309278,0.010309278,0.010309278
w27252_13324-a,0.010309278,0.010309278,0.010309278
w27252_13332-a,0.010309278,0.010309278,0.010309278
w27252_27355-a,0.010309278,0.010309278,0.010309278
w10425_2162-n,0.010309278,0.010309278,0.010309278
w10425_4948-n,0.010309278,0.010309278,0.010309278
w10425_19973-n,0.010309278,0.010309278,0.010309278
w10425_23742-n,0.010309278,0.010309278,0.010309278
w10425_35144-n,0.010309278,0.010309278,0.010309278
w54908_14396-a,0.020618556,0.020618556,0.020618556
w47058_11950-n,0.010309278,0.010309278,0.010309278
w2915_578-n,0.010309278,0.010309278,0.010309278
w19608_4443-n,0.010309278,0.010309278,0.010309278
w19608_27770-n,0.010309278,0.010309278,0.010309278
w17949_4051-v,0.010309278,0.010309278,0.010309278
w17949_11567-v,0.010309278,0.010309278,0.010309278
w17949_17383-v,0.010309278,0.010309278,0.010309278
w64195_17556-v,0.010309278,0.010309278,0.010309278
w37178_9251-v,0.010309278,0.010309278,0.010309278
w37178_11799-v,0.010309278,0.010309278,0.010309278
w37178_12882-v,0.010309278,0.010309278,0.010309278
w95566_27743-n,0.010309278,0.010309278,0.010309278
