,max (document wise),mean (document wise),min (document wise)
odenet-7041-a,0.010638298,0.010638298,0.010638298
odenet-13642-a,0.010638298,0.010638298,0.010638298
odenet-15336-a,0.010638298,0.010638298,0.010638298
odenet-13070-n,0.010638298,0.010638298,0.010638298
odenet-926-n,0.010638298,0.010638298,0.010638298
odenet-2495-n,0.010638298,0.010638298,0.010638298
odenet-4734-n,0.010638298,0.010638298,0.010638298
odenet-6998-n,0.010638298,0.010638298,0.010638298
odenet-20379-n,0.010638298,0.010638298,0.010638298
odenet-6257-n,0.010638298,0.010638298,0.010638298
odenet-1577-n,0.010638298,0.010638298,0.010638298
odenet-734-n,0.021276595,0.015792936,0.010309278
odenet-1080-n,0.021276595,0.015792936,0.010309278
odenet-27743-n,0.021276595,0.020947576,0.020618556
odenet-22821-n,0.021276595,0.021276595,0.021276595
odenet-20875-n,0.010638298,0.010638298,0.010638298
odenet-10345-v,0.010309278,0.010309278,0.010309278
odenet-31045-v,0.010309278,0.010309278,0.010309278
odenet-6425-a,0.010309278,0.010309278,0.010309278
odenet-10591-a,0.010309278,0.010309278,0.010309278
odenet-6432-a,0.010309278,0.010309278,0.010309278
odenet-13324-a,0.010309278,0.010309278,0.010309278
odenet-13332-a,0.010309278,0.010309278,0.010309278
odenet-27355-a,0.010309278,0.010309278,0.010309278
odenet-2162-n,0.010309278,0.010309278,0.010309278
odenet-4948-n,0.010309278,0.010309278,0.010309278
odenet-19973-n,0.010309278,0.010309278,0.010309278
odenet-23742-n,0.010309278,0.010309278,0.010309278
odenet-35144-n,0.010309278,0.010309278,0.010309278
odenet-14396-a,0.020618556,0.020618556,0.020618556
odenet-11950-n,0.010309278,0.010309278,0.010309278
odenet-578-n,0.010309278,0.010309278,0.010309278
odenet-4443-n,0.010309278,0.010309278,0.010309278
odenet-27770-n,0.010309278,0.010309278,0.010309278
odenet-4051-v,0.010309278,0.010309278,0.010309278
odenet-11567-v,0.010309278,0.010309278,0.010309278
odenet-17383-v,0.010309278,0.010309278,0.010309278
odenet-17556-v,0.010309278,0.010309278,0.010309278
odenet-9251-v,0.010309278,0.010309278,0.010309278
odenet-11799-v,0.010309278,0.010309278,0.010309278
odenet-12882-v,0.010309278,0.010309278,0.010309278
